type,lr,epoch,hidden/loss,knn/MSE,precision,recall
cf,0.1,1, 'hidden',200.0,0.455298013245,0.046634530166
cf,0.01,3, 'hidden',200.0,0.502649006623,0.0485963567001
cf,0.001,16, 'decode',500.0,0.326490066225,0.0274401034692
cf,0.0001,18, 'hidden_sigmoid',500.0,0.549006622517,0.0568576257919
cf,1e-05,11, 'hidden',200.0,0.497350993377,0.0521890872063
prediction,0.1,28,0.052824381929,0.047670394182,0.160264900662,0.0136755100209
prediction,0.01,21,0.042206902295,0.039997201412,0.151986754967,0.0123261518606
prediction,0.001,4,0.53777783268,0.34807646274,0.0649006622517,0.00447969738953
prediction,0.0001,7,0.034919334384,0.028760584071,0.142052980132,0.0102296350599
prediction,1e-05,30,0.043253724678,0.038202676922,0.129139072848,0.00967895745796
