type,lr,epoch,hidden/loss,knn/MSE,precision,recall
prediction,0.1,1,0.093623621819,0.042018603533,0.0665562913907,0.00524029129368
cf,0.1,1, 'hidden',200.0,0.445033112583,0.0448394380051
prediction,0.1,2,0.0438467589,0.04043296352,0.0715231788079,0.00517421331217
cf,0.1,2, 'hidden',200.0,0.439735099338,0.0443461533095
prediction,0.1,3,0.042207029003,0.03951338306,0.0596026490066,0.00455819794465
cf,0.1,3, 'hidden',200.0,0.449337748344,0.0446662261127
prediction,0.1,4,0.042032050876,0.03996247798,0.114238410596,0.00870952313283
cf,0.1,4, 'hidden',200.0,0.459271523179,0.0456810154801
prediction,0.1,5,0.043096916702,0.040210496634,0.0655629139073,0.00492233704921
cf,0.1,5, 'hidden',500.0,0.377814569536,0.0337134897838
prediction,0.1,6,0.043588129373,0.040729165077,0.00629139072848,0.000199191414004
cf,0.1,6, 'decode',5.0,0.263907284768,0.0197383783532
prediction,0.1,7,0.043823047135,0.040439747273,0.13940397351,0.0104010229569
cf,0.1,7, 'hidden',500.0,0.0516556291391,0.00233553684994
prediction,0.1,8,0.043525825899,0.040684498846,0.00397350993377,0.000291579224185
cf,0.1,8, 'hidden_sigmoid',5.0,0.214900662252,0.0158042922004
prediction,0.1,9,0.043855529469,0.04098077118,0.00728476821192,0.000565547173591
cf,0.1,9, 'decode',100.0,0.162913907285,0.0104576976856
prediction,0.1,10,0.044382820813,0.041199471801,0.00529801324503,0.000134257919698
cf,0.1,10, 'hidden_sigmoid',5.0,0.225496688742,0.0189118032196
prediction,0.1,11,0.044621626536,0.041100855916,0.00264900662252,0.000361811569611
cf,0.1,11, 'hidden_sigmoid',5.0,0.154635761589,0.0118319956571
prediction,0.1,12,0.044478576916,0.040751609951,0.00662251655629,0.000408937279513
cf,0.1,12, 'hidden_sigmoid',100.0,0.114569536424,0.00535723992396
prediction,0.1,13,0.044198655356,0.041069127619,0.0284768211921,0.00240921211092
cf,0.1,13, 'decode',100.0,0.103642384106,0.00668441221262
prediction,0.1,14,0.04426010774,0.041032571345,0.000993377483444,0.000138816831297
cf,0.1,14, 'hidden_sigmoid',100.0,0.155960264901,0.0110253000647
prediction,0.1,15,0.04452434096,0.041275378316,0.000993377483444,0.000169869052755
cf,0.1,15, 'decode',5.0,0.183443708609,0.0145630744321
cf,0.1,15, 'hidden_sigmoid',5.0,0.183443708609,0.0145630744321
prediction,0.1,16,0.044954762149,0.041753098368,0.0023178807947,0.000141751425251
cf,0.1,16, 'decode',5.0,0.201655629139,0.0164955323182
cf,0.1,16, 'hidden_sigmoid',5.0,0.201655629139,0.0164955323182
prediction,0.1,17,0.045682451472,0.042059194296,0.0,0.0
cf,0.1,17, 'decode',5.0,0.195364238411,0.0168834900498
prediction,0.1,18,0.045158198724,0.04140813648,0.00761589403974,0.000821380929116
cf,0.1,18, 'decode',100.0,0.139072847682,0.00930153757443
prediction,0.1,19,0.044620102414,0.041075173765,0.110264900662,0.00767060391491
cf,0.1,19, 'hidden',500.0,0.0228476821192,0.000947273313257
prediction,0.1,20,0.04440323702,0.041521139442,0.0102649006623,0.000510850142074
