type,lr,epoch,hidden/loss,knn/MSE,precision,recall
cf,0.1,2, 'hidden',200.0,0.462251655629,0.0474403292515
cf,0.01,3, 'hidden',100.0,0.530463576159,0.0543822514455
cf,0.001,5, 'hidden_sigmoid',500.0,0.325165562914,0.0285984150523
cf,0.0001,29, 'hidden_sigmoid',500.0,0.538410596026,0.0543800632794
cf,1e-05,9, 'hidden',200.0,0.463907284768,0.0500646168525
prediction,0.1,27,0.049637916569,0.045159533619,0.113245033113,0.0089844607946
prediction,0.01,11,0.041890506369,0.039785791188,0.151324503311,0.0119015368973
prediction,0.001,2,0.46370206467,0.5838599205,0.0675496688742,0.00536524980017
prediction,0.0001,8,0.035863397356,0.029890393838,0.149668874172,0.0116611253818
prediction,1e-05,30,0.043318444624,0.038286231458,0.143046357616,0.0109102711127
